Id;Designator;Package;Quantity;Designation;Supplier and ref;link;
1;C4,C3,C2,C1;SM1206;4;10uF;CT1206 10UF16V;http://www.sigmaelectronica.net/ct1206-10uf16v-p-1156.html;
2;C15,C10,C7,C5,C12,C6,C13,C11,C9,C8,C14;SM0805;11;0.1uF;CC0805 0.1UF50;http://www.sigmaelectronica.net/cc0805-01uf50-p-1077.html;
3;R5,R8,R3,R4,R7,R1,R2,R6;SM0603;8;2.7K;R0603 2.2K 5%;http://www.sigmaelectronica.net/r0603-p-1675.html;
4;P6;PINHEAD1-6;1;ENCODER4;;;
5;P5;PINHEAD1-6;1;ENCODER3;;;
6;P4;PINHEAD1-6;1;ENCODER2;;;
7;P3;PINHEAD1-6;1;ENCODER1;;;
8;K5;PINHEAD1-3;1;Debug;;;
9;K4;PINHEAD1-3;1;PWM4;;;
10;K3;PINHEAD1-3;1;PWM3;;;
11;K2;PINHEAD1-3;1;PWM2;;;
12;K1;PINHEAD1-3;1;PWM1;;;
13;P2,P1;PIN_ARRAY_20X2;2;CONN_25X2;;;
14;CON1;JACK_ALIM;1;BARREL_JACK;;;
15;J1;DB9FC;1;DB9 FEMALE;;DB9-H-IMP;http://www.sigmaelectronica.net/db9-h-imp-p-1578.html
16;U2;SO-20;1;74HC244M;74HC244M;http://www.sigmaelectronica.net/74hc244m-p-704.html;
17;U1,U3,U4,U6;so-14;4;74HC74M;74HC74M;http://www.sigmaelectronica.net/74hc74m-p-1138.html;
18;U5;SO-16N;1;MAX3232;MAX3232CSE;http://www.sigmaelectronica.net/max3232cse-p-948.html;
